Filename	Segment	posemo	negemo	reward	risk	focuspast	focuspresent	focusfuture
allText197.txt	1	2,71	2,37	1,69	0,00	0,68	3,73	1,69
allText198.txt	1	6,32	0,79	0,40	0,79	0,79	10,67	2,77
allText199.txt	1	4,29	0,24	2,62	0,00	2,62	10,48	0,95
allText2.txt	1	1,76	1,47	0,44	1,32	0,59	7,77	3,37
allText20.txt	1	5,15	1,47	1,47	1,47	2,21	10,29	2,21
allText200.txt	1	4,57	0,26	2,76	0,09	3,27	11,02	1,89
allText201.txt	1	5,75	0,52	1,92	0,35	2,26	8,89	1,92
allText202.txt	1	4,03	0,81	1,61	0,81	4,03	14,52	1,61
allText203.txt	1	4,86	0,63	1,90	0,63	1,90	10,36	3,59
allText204.txt	1	5,68	0,87	3,49	0,87	2,18	10,48	0,00
allText205.txt	1	4,66	0,82	1,37	0,55	2,19	12,33	2,74
allText206.txt	1	4,70	0,98	2,40	0,44	2,84	8,85	2,95
allText207.txt	1	3,79	0,00	2,27	0,00	3,79	12,88	0,76
allText208.txt	1	3,05	0,96	1,28	0,16	4,33	14,29	1,28
allText209.txt	1	4,62	0,97	1,95	0,49	3,16	8,52	2,43
allText21.txt	1	5,17	2,59	3,45	1,72	1,29	7,76	3,45
allText210.txt	1	6,75	2,00	2,00	1,00	2,50	11,75	0,50
allText211.txt	1	3,64	0,36	2,18	0,00	4,00	9,82	1,82
allText212.txt	1	7,41	0,46	2,31	0,00	1,85	14,35	2,31
allText213.txt	1	7,29	1,52	1,22	0,00	0,91	10,64	0,30
allText214.txt	1	7,14	0,00	0,95	0,00	2,86	13,81	1,43
allText215.txt	1	1,56	0,52	0,52	0,00	1,56	5,21	2,34
allText216.txt	1	6,97	0,41	1,02	0,20	0,82	9,43	1,84
allText217.txt	1	7,24	0,54	2,41	0,00	1,07	10,19	2,14
allText218.txt	1	6,91	0,46	2,76	0,46	0,46	11,06	2,76
allText219.txt	1	4,71	0,88	2,36	0,74	4,27	10,60	1,18
allText22.txt	1	2,50	0,71	1,07	0,71	0,36	8,57	3,21
allText220.txt	1	4,55	1,52	0,00	1,52	0,00	12,12	1,52
allText221.txt	1	5,56	0,00	2,12	0,00	1,32	7,94	3,97
allText222.txt	1	5,73	0,72	2,51	0,36	0,72	12,90	3,58
allText223.txt	1	3,35	1,29	2,06	0,52	3,87	12,89	1,80
allText224.txt	1	5,07	0,45	2,38	0,15	2,53	11,18	1,49
allText225.txt	1	2,84	0,00	1,42	0,00	2,37	10,43	0,95
allText226.txt	1	4,31	0,57	2,87	0,57	2,01	13,79	3,45
allText227.txt	1	4,76	0,00	2,38	0,00	0,00	11,90	7,14
allText228.txt	1	7,21	0,00	1,80	0,00	0,90	10,81	5,41
allText229.txt	1	4,20	0,56	2,24	0,14	3,50	12,45	1,68
allText23.txt	1	4,39	0,53	1,93	0,53	1,58	12,30	1,58
allText230.txt	1	7,58	0,76	1,52	0,76	2,27	9,09	2,27
allText231.txt	1	3,92	0,98	0,98	0,98	3,43	9,80	1,47
allText232.txt	1	5,20	0,89	2,38	0,45	1,19	9,21	0,89
